number,description,part.number,part.kind,part.description
1,LH bottom front foil,147-00-542-15KV,Subpart,
1,RH bottom front foil,147-00-540-77KV,Subpart,
1A,LH front foil lower,149-00-251-57KV,Subpart,
2,LH panel outside assy,147-00-520-09KV,Subpart,
2,RH panel outside assy,147-00-523-00KV,Subpart,
3,LH foil upper,147-00-821-00KV,Subpart,
3,RH foil upper,147-00-821-01KV,Subpart,
4,LH foil bumper,147-00-541-57KV,Subpart,
4,RH foil bumper,147-00-541-58KV,Subpart,
5,Dress cover – headrest,TP25-8310-EPA,Subpart,
5,Dress cover – backrest,TP25-8309-EPA,Subpart,
5,LH leather pouch,147-00-701-01,Subpart,
5,RH leather pouch,147-00-701-02,Subpart,
5,LH dress cover – seatbottom,TP25-8311-EPA,Subpart,
5,RH dress cover – seatbottom,TP25-8312-EPA,Subpart,
5,Dress cover – legrest,TP25-8314-EPA,Subpart,
5,Dress cover – footrest,TP25-8315-EPA,Subpart,
5A,Seat belt with buckle,TP25-7235,Subpart,
5A,Seat belt without buckle,TP25-7236,Subpart,
6,PD panel,147-00-870-75KV,Subpart,
7,CTR armcap LH,664-00-830-01,Subpart,
7,CTR armcap RH,664-00-830-02,Subpart,
7,Armcap LH,664-00-340-20,Subpart,
7,Armcap RH,664-00-340-20,Subpart,
7A,RH headphone insert assy,147-00-870-07KW,Subpart,
7A,LH headphone insert assy,147-00-870-08KW,Subpart,
8,LH armrest,664-00-300-01,Subpart,
8,RH armrest,664-00-300-02,Subpart,
9,Table rack,147-00-811-85KV,Subpart,
10,LH side foil,147-00-870-65KW,Subpart,
10,RH side foil,147-00-870-66KW,Subpart,
11,front foil,147-00-840-31KW,Subpart,
12,LH foil rear cover bottom,147-00-541-55KV,Subpart,
12,RH foil rear cover bottom,147-00-541-56KV,Subpart,
13,LH service cover,149-00-892-93KV,Subpart,
13,RH service cover,149-00-892-94KV,Subpart,
14,Rear lower cover,147-00-870-71KV,Subpart,
15,Rear stowage assy,664-00-870-51,Subpart,
16,LH foil rear,147-00-540-69KW,Subpart,
16,RH foil rear,147-00-540-70KW,Subpart,
