number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
1;LH bottom front foil;147-00-542-15KV;;;;;;
1;RH bottom front foil;147-00-540-77KV;;;;;;
1A;LH Front foil lower;149-00-251-57KV;;;;;;
2;LH panel outside assy;147-00-520-09KV;;;;;;
2;RH panel outside assy;147-00-523-00KV;;;;;;
3;LH Foil upper;147-00-821-00KV;;;;;;
3;RH Foil upper;147-00-821-01KV;;;;;;
4;LH Foil bumper;147-00-541-57KV;;;;;;
4;RH Foil bumper;147-00-541-58KV;;;;;;
6;PD panel;147-00-870-75KV;;;;;;
7;CTR Armcap LH;664-00-830-01;;;;;;
7;CTR Armcap RH;664-00-830-02;;;;;;
7;Armcap LH;664-00-340-20;;;;;;
7;Armcap RH;664-00-340-20;;;;;;
7a;RH HEADPHONE INSERT ASSY;147-00-870-07KW;;;;;;
7a;LH HEADPHONE INSERT ASSY;147-00-870-08KW;;;;;;
8;LH Armrest;664-00-300-01;;;;;;
8;RH Armrest;664-00-300-02;;;;;;
9;Table rack;147-00-811-85KV;;;;;;
10;LH Side foil;147-00-870-77KW;;;;;;
10;RH Side foil;147-00-870-76KW;;;;;;
11;Front foil;147-00-840-31KW;;;;;;
12;LH Foil rear cover bottom;147-00-541-55KV;;;;;;
12;RH Foil rear cover bottom;147-00-541-56KV;;;;;;
13;LH Service cover;149-00-892-93KV;;;;;;
13;RH Service cover;149-00-892-94KV;;;;;;
14;Rear lower cover;147-00-870-71KV;;;;;;
15;Rear stowage assy;664-00-870-51;;;;;;
16;LH Foil rear;147-00-541-65KW;;;;;;
16;RH Foil rear;147-00-541-66KW;;;;;;
5;Dress cover - Legrest;TP25-8314-EPA;;;;;;
5;Dress cover - Headrest;TP25-8353-EPA;;;;;;
5;Dress cover - Backrest;TP25-8352-EPA;;;;;;
5;LH Dress cover - Seatbottom;TP25-8354-EPA;;;;;;
5;RH Dress cover - Seatbottom;TP25-8355-EPA;;;;;;
5;Dress cover - Footrest;TP25-8315-EPA;;;;;;
5A;Seat belt with buckle;TP25-8389;;;;;;
5A;Seat belt without buckle;TP25-8390;;;;;;
