number,description,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
1,LH bottom front foil,147-00-542-15KV,,TOE-TOP_C_front.png,0,0,0,0
1,RH bottom front foil,147-00-541-14KV,,TOE-TOP_C_front.png,0,0,0,0
1A,LH front foil lower,149-00-251-57KV,,TOE-TOP_C_front.png,0,0,0,0
2,LH panel outside assy,147-00-520-09KV,,TOE-TOP_C_front.png,0,0,0,0
2,RH panel outside assy,147-00-522-04KV,,TOE-TOP_C_front.png,0,0,0,0
3,LH foil upper,147-00-821-00KV,,TOE-TOP_C_front.png,0,0,0,0
3,RH foil upper,147-00-821-01KV,,TOE-TOP_C_front.png,0,0,0,0
4,LH foil bumper,147-00-541-57KV,,TOE-TOP_C_front.png,0,0,0,0
4,RH foil bumper,147-00-541-58KV,,TOE-TOP_C_front.png,0,0,0,0
6,PD panel,147-00-870-75KV,,TOE-TOP_C_front.png,0,0,0,0
7,CTR armcap LH,664-00-830-01,,TOE-TOP_C_front.png,0,0,0,0
7,CTR armcap RH,664-00-830-02,,TOE-TOP_C_front.png,0,0,0,0
7,Armcap LH,664-00-340-20,,TOE-TOP_C_front.png,0,0,0,0
7,Armcap RH,664-00-340-20,,TOE-TOP_C_front.png,0,0,0,0
7A,RH headphone insert assy,147-00-870-07KW,,TOE-TOP_C_front.png,0,0,0,0
7A,LH headphone insert assy,147-00-870-08KW,,TOE-TOP_C_front.png,0,0,0,0
8,LH armrest,664-00-300-01,,TOE-TOP_C_front.png,0,0,0,0
8,RH armrest,664-00-300-02,,TOE-TOP_C_front.png,0,0,0,0
9,Table rack,147-00-811-85KV,,TOE-TOP_C_front.png,0,0,0,0
10,LH side foil,147-00-870-65KW,,TOE-TOP_C_front.png,0,0,0,0
10,RH side foil,147-00-870-66KW,,TOE-TOP_C_front.png,0,0,0,0
11,Front foil,147-00-840-31KW,,TOE-TOP_C_front.png,0,0,0,0
12,LH foil rear cover bottom,147-00-541-55KV,,TOE-TOP_C_back.png,0,0,0,0
12,RH foil rear cover bottom,147-00-541-56KV,,TOE-TOP_C_back.png,0,0,0,0
13,LH service cover,149-00-892-93KV,,TOE-TOP_C_back.png,0,0,0,0
13,RH service cover,149-00-892-94KV,,TOE-TOP_C_back.png,0,0,0,0
14,Rear lower cover,147-00-870-71KV,,TOE-TOP_C_back.png,0,0,0,0
15,Rear stowage assy,664-00-870-51,,TOE-TOP_C_back.png,0,0,0,0
16,LH foil rear,147-00-540-69KW,,TOE-TOP_C_back.png,0,0,0,0
16,RH foil rear,147-00-540-70KW,,TOE-TOP_C_back.png,0,0,0,0
5,Dress cover – headrest,TP25-8310-EPA,,TOE-TOP_C_front.png,0,0,0,0
5,Dress cover – backrest,TP25-8309-EPA,,TOE-TOP_C_front.png,0,0,0,0
5,LH leather pouch,147-00-701-01,,TOE-TOP_C_front.png,0,0,0,0
5,RH leather pouch,147-00-701-02,,TOE-TOP_C_front.png,0,0,0,0
5,LH dress cover – seatbottom,TP25-8311-EPA,,TOE-TOP_C_front.png,0,0,0,0
5,RH dress cover – seatbottom,TP25-8312-EPA,,TOE-TOP_C_front.png,0,0,0,0
5,Dress cover – legrest,TP25-8314-EPA,,TOE-TOP_C_front.png,0,0,0,0
5,Dress cover – footrest,TP25-8315-EPA,,TOE-TOP_C_front.png,0,0,0,0
5A,Seat belt with buckle,TP25-7235,,TOE-TOP_C_front.png,0,0,0,0
5A,Seat belt without buckle,TP25-7236,,TOE-TOP_C_front.png,0,0,0,0
