name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
11AB,Seat,781-21-21,,A330_TOE-TOG_Y1.png,22,51,92,94
12AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,109,92,152
13AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,168,92,211
14AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,226,92,269
15AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,284,92,327
16AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,343,92,386
17AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,401,92,444
18AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,460,92,503
19AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,518,92,561
20AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,577,92,620
21AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,635,92,678
22AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,694,92,737
23AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,750,92,793
24AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,807,92,850
25AB,Seat,781-21-01,,A330_TOE-TOG_Y1.png,22,864,92,907
26AB,Seat,781-21-09,,A330_TOE-TOG_Y1.png,22,920,92,962
11DE,Seat,781-21-51,,A330_TOE-TOG_Y1.png,128,54,198,97
12DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,113,198,156
13DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,172,198,215
14DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,230,198,273
15DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,289,198,332
16DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,347,198,390
17DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,404,198,447
18DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,463,198,506
19DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,522,198,565
20DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,580,198,623
21DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,639,198,682
22DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,697,198,740
23DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,755,198,798
24DE,Seat,781-21-41,,A330_TOE-TOG_Y1.png,128,812,198,855
25DE,Seat,781-21-42,,A330_TOE-TOG_Y1.png,128,869,198,912
11FG,Seat,781-22-51,,A330_TOE-TOG_Y1.png,200,54,270,97
12FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,113,270,156
13FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,172,270,215
14FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,230,270,273
15FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,289,270,332
16FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,347,270,390
17FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,404,270,447
18FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,463,270,506
19FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,522,270,565
20FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,580,270,623
21FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,639,270,682
22FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,697,270,740
23FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,755,270,798
24FG,Seat,781-22-41,,A330_TOE-TOG_Y1.png,200,812,270,855
25FG,Seat,781-22-42,,A330_TOE-TOG_Y1.png,200,869,270,912
11HJ,Seat,781-22-21,,A330_TOE-TOG_Y1.png,306,51,376,94
12HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,109,376,152
13HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,168,376,211
14HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,226,376,269
15HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,284,376,327
16HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,343,376,386
17HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,401,376,444
18HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,460,376,503
19HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,518,376,561
20HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,577,376,620
21HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,635,376,678
22HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,694,376,737
23HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,750,376,793
24HJ,Seat,781-22-01,,A330_TOE-TOG_Y1.png,306,807,376,850
25HJ,Seat,781-22-11,,A330_TOE-TOG_Y1.png,306,864,376,907
26HJ,Seat,781-22-12,,A330_TOE-TOG_Y1.png,306,920,376,963
