name,kind,part.number,part.description
28AB,Seat,781-21-21,
29AB,Seat,781-21-01,
30AB,Seat,781-21-01,
31AB,Seat,781-21-01,
32AB,Seat,781-21-01,
33AB,Seat,781-21-03,
34AB,Seat,781-21-03,
35AB,Seat,781-21-05,
36AB,Seat,781-21-05,
37AB,Seat,781-21-07,
38AB,Seat,781-21-06,
39AB,Seat,781-21-02,
40AB,Seat,781-21-02,
41AB,Seat,781-21-08,
27DE,Seat,781-21-51,
28DE,Seat,781-21-41,
29DE,Seat,781-21-41,
30DE,Seat,781-21-41,
31DE,Seat,781-21-41,
32DE,Seat,781-21-41,
33DE,Seat,781-21-41,
34DE,Seat,781-21-41,
35DEFG,Seat,781-40-01,
36DEFG,Seat,781-40-02,
37DEFG,Seat,781-40-04,
38EFG,Seat,781-40-22,
39EFG,Seat,781-40-01,
40EFG,Seat,781-40-01,
41EFG,Seat,781-40-02,
42EFG,Seat,781-40-05,
27FG,Seat,781-22-51,
28FG,Seat,781-22-41,
29FG,Seat,781-22-41,
30FG,Seat,781-22-41,
31FG,Seat,781-22-41,
32FG,Seat,781-22-41,
33FG,Seat,781-22-41,
34FG,Seat,781-22-41,
28HJ,Seat,781-22-21,
29HJ,Seat,781-22-11,
30HJ,Seat,781-22-11,
31HJ,Seat,781-22-01,
32HJ,Seat,781-22-01,
33HJ,Seat,781-22-03,
34HJ,Seat,781-22-03,
35HJ,Seat,781-22-05,
36HJ,Seat,781-22-05,
37HJ,Seat,781-22-07,
38HJ,Seat,781-22-06,
39HJ,Seat,781-22-02,
40HJ,Seat,781-22-02,
41HJ,Seat,781-22-08,
