name,part.number,part.kind,part.description
1AB,16CE1T1001XH,Seat,
2AB,16CE1T1001XH,Seat,
3AB,16CE1T1001XH,Seat,
4AB,16CE1T1001XH,Seat,
5AB,16CE1T1001XH,Seat,
6AB,16CE3T1001XH,Seat,
1EF,16AE1T1111XH,Seat,
2EF,16AE1T1110XH,Seat,
3EF,16AE1T1110XH,Seat,
4EF,16AE1T1110XH,Seat,
5EF,16AE1T1110XH,Seat,
6EF,16AE3T1110XH,Seat,
1HJ,16CE1T1002XH,Seat,
2HJ,16CE1T1002XH,Seat,
3HJ,16CE1T1002XH,Seat,
4HJ,16CE1T1002XH,Seat,
5HJ,16CE1T1002XH,Seat,
6HJ,16BE3T1002XH,Seat,
L11,F2549000600000,Lavatory,
L35,F2549018800800,Lavatory,
L37,F2549013801200,Lavatory,
B/CCarpet,Generic,Carpet,
DP,Generic,Panel,
SP,Generic,Sidewall,
LABEL,Generic,Label,
