name,part.number,part.kind,part.description
27AB,9166211-11,Seat,
28AB,9166210-01,Seat,
29AB,9166210-01,Seat,
30AB,9166210-01,Seat,
31AB,9166210-01,Seat,
32AB,9166210-01,Seat,
33AB,9166210-01,Seat,
34AB,9166210-03,Seat,
35AB,9166210-03,Seat,
36AB,9166210-01,Seat,
37AB,9166210-09,Seat,
38AB,9166210-09,Seat,
39AB,9166210-09,Seat,
26DE,9166231-13,Seat,
27DE,9166230-15,Seat,
28DE,9166230-15,Seat,
29DE,9166230-15,Seat,
30DE,9166230-15,Seat,
31DE,9166230-15,Seat,
32DE,9166230-15,Seat,
33DE,9166230-15,Seat,
34DE,9166230-15,Seat,
35DE,9166230-17,Seat,
36DE,9166230-19,Seat,
37EEF,9166341-21,Seat,
38EFG,9166340-22,Seat,
39EFG,9166340-22,Seat,
40EFG,9166340-22,Seat,
41EFG,9166340-22,Seat,
42EFG,9166340-23,Seat,
26FG,9166221-14,Seat,
27FG,9166220-16,Seat,
28FG,9166220-16,Seat,
29FG,9166220-16,Seat,
30FG,9166220-16,Seat,
31FG,9166220-16,Seat,
32FG,9166220-16,Seat,
33FG,9166220-16,Seat,
34FG,9166220-16,Seat,
35FG,9166220-18,Seat,
36FG,9166220-20,Seat,
27HJ,9166201-12,Seat,
28HJ,9166200-02,Seat,
29HJ,9166200-02,Seat,
30HJ,9166200-02,Seat,
31HJ,9166200-02,Seat,
32HJ,9166200-02,Seat,
33HJ,9166200-02,Seat,
34HJ,9166200-04,Seat,
35HJ,9166200-04,Seat,
36HJ,9166200-02,Seat,
37HJ,9166200-06,Seat,
38HJ,9166200-10,Seat,
39HJ,9166200-10,Seat,
40HJ,9166200-10,Seat,
L61,F2549006504400,Lavatory,
L62,F2549007504400,Lavatory,
L73,F2549027504000,Lavatory,
L74,F2549028504200,Lavatory,
Y2/CCarpet,,Carpet,
DP,,Panel,
SP,,Sidewall,
LABEL,,Label,
