name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
1AB,Seat,16CE1T1001XH,,TOA-TOD_C.png,23,524,117,643
2AB,Seat,16CE1T1001XH,,TOA-TOD_C.png,23,645,117,747
3AB,Seat,16CE1T1001XH,,TOA-TOD_C.png,23,749,117,850
4AB,Seat,16CE1T1001XH,,TOA-TOD_C.png,23,850,117,950
5AB,Seat,16CE1T1001XH,,TOA-TOD_C.png,23,850,117,950
6AB,Seat,16CE3T1001XH,,TOA-TOD_C.png,23,850,117,950
1EF,Seat,16AE1T1111XH,,TOA-TOD_C.png,152,502,247,623
2EF,Seat,16AE1T1110XH,,TOA-TOD_C.png,152,623,247,723
3EF,Seat,16AE1T1110XH,,TOA-TOD_C.png,152,828,247,932
4EF,Seat,16AE1T1110XH,,TOA-TOD_C.png,152,828,247,930
5EF,Seat,16AE1T1110XH,,TOA-TOD_C.png,152,828,247,930
6EF,Seat,16AE3T1110XH,,TOA-TOD_C.png,152,828,247,930
1HJ,Seat,16CE1T1002XH,,TOA-TOD_C.png,281,524,376,643
2HJ,Seat,16CE1T1002XH,,TOA-TOD_C.png,281,645,376,747
3HJ,Seat,16CE1T1002XH,,TOA-TOD_C.png,281,749,376,850
4HJ,Seat,16CE1T1002XH,,TOA-TOD_C.png,281,850,376,950
5HJ,Seat,16CE1T1002XH,,TOA-TOD_C.png,281,850,376,950
6HJ,Seat,16BE3T1002XH,,TOA-TOD_C.png,281,850,376,950
L11,Lavatory,F2549000601200,,TOA-TOD_C.png,0,0,0,0
L35,Lavatory,F2549018807600,,TOA-TOD_C.png,0,0,0,0
L37,Lavatory,F2549013807000,,TOA-TOD_C.png,0,0,0,0
B/CCarpet,Carpet,Generic,,TOA-TOD_C.png,0,0,0,0
DP,Panel,Generic,,TOA-TOD_C.png,0,0,0,0
SP,Sidewall,Generic,,TOA-TOD_C.png,0,0,0,0
LABEL,Label,Generic,,TOA-TOD_C.png,0,0,0,0
