name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
11AB,Seat,781-21-21,,TOE-TOG_Y1.png,22,51,92,94
12AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,110,91,153
13AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,169,91,212
14AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,228,91,271
15AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,286,91,329
16AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,346,91,389
17AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,404,91,447
18AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,464,91,507
19AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,522,91,565
20AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,582,91,625
21AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,640,91,683
22AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,700,91,743
23AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,756,91,799
24AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,814,91,857
25AB,Seat,781-21-01,,TOE-TOG_Y1.png,21,871,91,914
26AB,Seat,781-21-09,,TOE-TOG_Y1.png,21,928,91,970
11DE,Seat,781-21-51,,TOE-TOG_Y1.png,128,54,198,97
12DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,114,198,157
13DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,173,198,216
14DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,232,198,275
15DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,291,198,334
16DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,350,198,393
17DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,407,198,450
18DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,467,198,510
19DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,526,198,569
20DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,585,198,628
21DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,644,198,687
22DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,703,198,746
23DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,761,198,804
24DE,Seat,781-21-41,,TOE-TOG_Y1.png,128,819,198,862
25DE,Seat,781-21-42,,TOE-TOG_Y1.png,128,876,198,919
11FG,Seat,781-22-51,,TOE-TOG_Y1.png,201,54,271,97
12FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,114,271,157
13FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,173,271,216
14FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,232,271,275
15FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,291,271,334
16FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,350,271,393
17FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,407,271,450
18FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,467,271,510
19FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,526,271,569
20FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,585,271,628
21FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,644,271,687
22FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,703,271,746
23FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,761,271,804
24FG,Seat,781-22-41,,TOE-TOG_Y1.png,201,819,271,862
25FG,Seat,781-22-42,,TOE-TOG_Y1.png,201,876,271,919
11HJ,Seat,781-22-21,,TOE-TOG_Y1.png,308,51,378,94
12HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,110,378,153
13HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,169,378,212
14HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,228,378,271
15HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,286,378,329
16HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,346,378,389
17HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,404,378,447
18HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,464,378,507
19HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,522,378,565
20HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,582,378,625
21HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,640,378,683
22HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,700,378,743
23HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,756,378,799
24HJ,Seat,781-22-01,,TOE-TOG_Y1.png,308,814,378,857
25HJ,Seat,781-22-11,,TOE-TOG_Y1.png,308,871,378,914
26HJ,Seat,781-22-12,,TOE-TOG_Y1.png,308,928,378,971
L61,Lavatory,F2549006600600,,TOE-TOG_Y1.png,133,937,199,1015
L62,Lavatory,F2549007600600,,TOE-TOG_Y1.png,200,937,268,1015
Y1/CCarpet,Carpet,Generic,,TOE-TOG_Y1.png,0,0,0,0
DP,Panel,Generic,,TOE-TOG_Y1.png,0,0,0,0
SP,Sidewall,Generic,,TOE-TOG_Y1.png,0,0,0,0
LABEL,Label,Generic,,TOE-TOG_Y1.png,0,0,0,0
