name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
1AB,Seat,664-21-010-11,,TOE-TOG_C.png,23,528,117,647
2AB,Seat,664-21-010-11,,TOE-TOG_C.png,23,649,117,751
3AB,Seat,664-21-010-11,,TOE-TOG_C.png,23,753,117,854
4AB,Seat,664-21-020-11,,TOE-TOG_C.png,23,854,117,954
1EF,Seat,664-20-010-11,,TOE-TOG_C.png,152,506,247,626
2EF,Seat,664-20-010-11,,TOE-TOG_C.png,152,627,247,727
3EF,Seat,664-20-010-11,,TOE-TOG_C.png,152,729,247,830
4EF,Seat,664-20-020-11,,TOE-TOG_C.png,152,832,247,934
1HJ,Seat,664-22-010-11,,TOE-TOG_C.png,281,528,376,647
2HJ,Seat,664-22-010-11,,TOE-TOG_C.png,281,649,376,751
3HJ,Seat,664-22-010-11,,TOE-TOG_C.png,281,753,376,854
4HJ,Seat,664-22-020-11,,TOE-TOG_C.png,281,854,376,954
L11,Lavatory,F2549000512000,,TOE-TOG_C.png,61,272,149,345
L37,Lavatory,F2549019107400,,TOE-TOG_C.png,12,1145,94,1208
L38,Lavatory,F2549014204200,,TOE-TOG_C.png,306,1145,387,1208
B/CCarpet,Carpet,Generic,,TOE-TOG_C.png,0,0,0,0
DP,Panel,Generic,,TOE-TOG_C.png,0,0,0,0
SP,Sidewall,Generic,,TOE-TOG_C.png,0,0,0,0
LABEL,Label,Generic,,TOE-TOG_C.png,0,0,0,0
