name,part.number,part.kind,part.description
28AB,782-21-21,Seat,
29AB,782-21-11,Seat,
30AB,782-21-11,Seat,
31AB,782-21-11,Seat,
32AB,782-21-11,Seat,
33AB,782-21-03,Seat,
34AB,782-21-03,Seat,
35AB,782-21-03,Seat,
36AB,782-21-05,Seat,
37AB,782-21-07,Seat,
38AB,782-21-06,Seat,
39AB,782-21-13,Seat,
40AB,782-21-13,Seat,
41AB,782-21-08,Seat,
27DE,782-21-51,Seat,
28DE,782-21-44,Seat,
29DE,782-21-44,Seat,
30DE,782-21-44,Seat,
31DE,782-21-44,Seat,
32DE,782-21-44,Seat,
33DE,782-21-44,Seat,
34DE,782-21-44,Seat,
35DEEF,782-40-05,Seat,
36DEEF,782-40-02,Seat,
37DEEF,782-40-04,Seat,
38EFG,782-30-22,Seat,
39EFG,782-30-06,Seat,
40EFG,782-30-06,Seat,
41EFG,782-30-02,Seat,
42EFG,782-30-03,Seat,
27FG,782-22-51,Seat,
28FG,782-22-44,Seat,
29FG,782-22-44,Seat,
30FG,782-22-44,Seat,
31FG,782-22-44,Seat,
32FG,782-22-44,Seat,
33FG,782-22-44,Seat,
34FG,782-22-44,Seat,
28HJ,782-22-21,Seat,
29HJ,782-22-11,Seat,
30HJ,782-22-11,Seat,
31HJ,782-22-11,Seat,
32HJ,782-22-11,Seat,
33HJ,782-22-03,Seat,
34HJ,782-22-03,Seat,
35HJ,782-22-03,Seat,
36HJ,782-22-05,Seat,
37HJ,782-22-07,Seat,
38HJ,782-22-06,Seat,
39HJ,782-22-13,Seat,
40HJ,782-22-13,Seat,
41HJ,782-22-08,Seat,
L53,F2549014200400,Lavatory,
L54,F2549019103200,Lavatory,
Y2/CCarpet,Generic,Carpet,
DP,Generic,Panel,
SP,Generic,Sidewall,
LABEL,Generic,Label,
