name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
1AB,Seat,664-21-010-11,,TOH-TOK_C.png,20,527,117,647
2AB,Seat,664-21-010-11,,TOH-TOK_C.png,20,650,117,752
3AB,Seat,664-21-010-11,,TOH-TOK_C.png,20,755,117,857
4AB,Seat,664-21-020-11,,TOH-TOK_C.png,20,860,117,962
1EF,Seat,664-20-010-11,,TOH-TOK_C.png,151,511,247,631
2EF,Seat,664-20-010-11,,TOH-TOK_C.png,151,634,247,735
3EF,Seat,664-20-010-11,,TOH-TOK_C.png,151,738,247,839
4EF,Seat,664-20-020-11,,TOH-TOK_C.png,151,842,247,943
1HJ,Seat,664-22-010-11,,TOH-TOK_C.png,281,527,377,647
2HJ,Seat,664-22-010-11,,TOH-TOK_C.png,281,650,377,752
3HJ,Seat,664-22-010-11,,TOH-TOK_C.png,281,755,377,857
4HJ,Seat,664-22-020-11,,TOH-TOK_C.png,281,860,377,962
L37,Lavatory,F2549019012000,,TOH-TOK_C.png,14,1147,92,1210
L38,Lavatory,F2549014110000,,TOH-TOK_C.png,307,1147,387,1210
B/CCarpet,Carpet,Generic,,TOH-TOK_C.png,0,0,0,0
DP,Panel,Generic,,TOH-TOK_C.png,0,0,0,0
SP,Sidewall,Generic,,TOH-TOK_C.png,0,0,0,0
LABEL,Label,Generic,,TOH-TOK_C.png,0,0,0,0
