name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
28AB,Seat,782-21-21,,TOH-TOK_Y2.png,22,51,92,94
29AB,Seat,782-21-11,,TOH-TOK_Y2.png,22,109,92,152
30AB,Seat,782-21-11,,TOH-TOK_Y2.png,22,168,92,211
31AB,Seat,782-21-11,,TOH-TOK_Y2.png,22,226,92,269
32AB,Seat,782-21-11,,TOH-TOK_Y2.png,22,284,92,327
33AB,Seat,782-21-03,,TOH-TOK_Y2.png,22,343,92,386
34AB,Seat,782-21-03,,TOH-TOK_Y2.png,22,401,92,444
35AB,Seat,782-21-03,,TOH-TOK_Y2.png,22,460,92,503
36AB,Seat,782-21-05,,TOH-TOK_Y2.png,22,518,92,561
37AB,Seat,782-21-07,,TOH-TOK_Y2.png,22,577,92,620
38AB,Seat,782-21-06,,TOH-TOK_Y2.png,22,635,92,678
39AB,Seat,782-21-13,,TOH-TOK_Y2.png,22,694,92,737
40AB,Seat,782-21-13,,TOH-TOK_Y2.png,22,750,92,793
41AB,Seat,782-21-08,,TOH-TOK_Y2.png,22,807,92,850
27DE,Seat,782-21-51,,TOH-TOK_Y2.png,128,54,198,97
28DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,113,198,156
29DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,172,198,215
30DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,230,198,273
31DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,289,198,332
32DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,347,198,390
33DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,404,198,447
34DE,Seat,782-21-44,,TOH-TOK_Y2.png,128,463,198,506
35DEEF,Seat,782-40-05,,TOH-TOK_Y2.png,128,522,198,565
36DEEF,Seat,782-40-02,,TOH-TOK_Y2.png,128,580,198,623
37DEEF,Seat,782-40-04,,TOH-TOK_Y2.png,128,639,198,682
38EFG,Seat,782-30-22,,TOH-TOK_Y2.png,128,697,198,740
39EFG,Seat,782-30-06,,TOH-TOK_Y2.png,128,755,198,798
40EFG,Seat,782-30-06,,TOH-TOK_Y2.png,128,812,198,855
41EFG,Seat,782-30-02,,TOH-TOK_Y2.png,128,869,198,912
42EFG,Seat,782-30-03,,TOH-TOK_Y2.png,128,869,198,912
27FG,Seat,782-22-51,,TOH-TOK_Y2.png,200,54,270,97
28FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,113,270,156
29FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,172,270,215
30FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,230,270,273
31FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,289,270,332
32FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,347,270,390
33FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,404,270,447
34FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,463,270,506
28HJ,Seat,782-22-21,,TOH-TOK_Y2.png,306,51,376,94
29HJ,Seat,782-22-11,,TOH-TOK_Y2.png,306,109,376,152
30HJ,Seat,782-22-11,,TOH-TOK_Y2.png,306,168,376,211
31HJ,Seat,782-22-11,,TOH-TOK_Y2.png,306,226,376,269
32HJ,Seat,782-22-11,,TOH-TOK_Y2.png,306,284,376,327
33HJ,Seat,782-22-03,,TOH-TOK_Y2.png,306,343,376,386
34HJ,Seat,782-22-03,,TOH-TOK_Y2.png,306,401,376,444
35HJ,Seat,782-22-03,,TOH-TOK_Y2.png,306,460,376,503
36HJ,Seat,782-22-05,,TOH-TOK_Y2.png,306,518,376,561
37HJ,Seat,782-22-07,,TOH-TOK_Y2.png,306,577,376,620
38HJ,Seat,782-22-06,,TOH-TOK_Y2.png,306,635,376,678
39HJ,Seat,782-22-13,,TOH-TOK_Y2.png,306,694,376,737
40HJ,Seat,782-22-13,,TOH-TOK_Y2.png,306,750,376,793
41HJ,Seat,782-22-08,,TOH-TOK_Y2.png,306,807,376,850
L53,Lavatory,F2549013913600,,TOH-TOK_Y2.png,0,0,0,0
L54,Lavatory,F2549019000400,,TOH-TOK_Y2.png,0,0,0,0
Y2/CCarpet,Carpet,Generic,,TOH-TOK_Y2.png,0,0,0,0
DP,Panel,Generic,,TOH-TOK_Y2.png,0,0,0,0
SP,Sidewall,Generic,,TOH-TOK_Y2.png,0,0,0,0
LABEL,Label,Generic,,TOH-TOK_Y2.png,0,0,0,0
