name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
28AB,Seat,782-21-21,,TOH-TOK_Y2.png,19,163,91,207
29AB,Seat,782-21-11,,TOH-TOK_Y2.png,19,221,91,265
30AB,Seat,782-21-11,,TOH-TOK_Y2.png,19,278,91,322
31AB,Seat,782-21-11,,TOH-TOK_Y2.png,19,335,91,379
32AB,Seat,782-21-11,,TOH-TOK_Y2.png,19,392,91,436
33AB,Seat,782-21-03,,TOH-TOK_Y2.png,19,450,91,494
34AB,Seat,782-21-03,,TOH-TOK_Y2.png,19,507,91,549
35AB,Seat,782-21-03,,TOH-TOK_Y2.png,19,562,92,610
36AB,Seat,782-21-05,,TOH-TOK_Y2.png,23,620,95,672
37AB,Seat,782-21-07,,TOH-TOK_Y2.png,26,678,100,727
38AB,Seat,782-21-06,,TOH-TOK_Y2.png,30,735,104,783
39AB,Seat,782-21-13,,TOH-TOK_Y2.png,34,791,108,840
40AB,Seat,782-21-13,,TOH-TOK_Y2.png,37,847,112,897
41AB,Seat,782-21-08,,TOH-TOK_Y2.png,40,905,115,953
27DE,Seat,782-21-51,,TOH-TOK_Y2.png,127,140,198,184
28DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,194,198,237
29DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,248,198,290
30DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,303,198,344
31DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,357,198,398
32DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,409,198,451
33DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,465,198,504
34DE,Seat,782-21-44,,TOH-TOK_Y2.png,127,517,198,559
35DEEF,Seat,782-40-05,,TOH-TOK_Y2.png,129,570,269,613
36DEEF,Seat,782-40-02,,TOH-TOK_Y2.png,129,625,269,665
37DEEF,Seat,782-40-04,,TOH-TOK_Y2.png,135,679,262,716
38EFG,Seat,782-30-22,,TOH-TOK_Y2.png,146,733,252,775
39EFG,Seat,782-30-06,,TOH-TOK_Y2.png,146,786,252,829
40EFG,Seat,782-30-06,,TOH-TOK_Y2.png,146,839,252,883
41EFG,Seat,782-30-02,,TOH-TOK_Y2.png,146,892,252,937
42EFG,Seat,782-30-03,,TOH-TOK_Y2.png,148,945,250,989
27FG,Seat,782-22-51,,TOH-TOK_Y2.png,200,140,271,184
28FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,194,271,237
29FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,248,271,290
30FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,303,271,344
31FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,357,271,398
32FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,409,271,451
33FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,465,271,504
34FG,Seat,782-22-44,,TOH-TOK_Y2.png,200,517,271,559
28HJ,Seat,782-22-21,,TOH-TOK_Y2.png,307,163,379,207
29HJ,Seat,782-22-11,,TOH-TOK_Y2.png,307,221,379,265
30HJ,Seat,782-22-11,,TOH-TOK_Y2.png,307,278,379,322
31HJ,Seat,782-22-11,,TOH-TOK_Y2.png,307,335,379,379
32HJ,Seat,782-22-11,,TOH-TOK_Y2.png,307,392,379,436
33HJ,Seat,782-22-03,,TOH-TOK_Y2.png,307,450,379,494
34HJ,Seat,782-22-03,,TOH-TOK_Y2.png,307,507,379,549
35HJ,Seat,782-22-03,,TOH-TOK_Y2.png,307,562,379,610
36HJ,Seat,782-22-05,,TOH-TOK_Y2.png,303,620,376,672
37HJ,Seat,782-22-07,,TOH-TOK_Y2.png,300,678,371,727
38HJ,Seat,782-22-06,,TOH-TOK_Y2.png,296,735,367,783
39HJ,Seat,782-22-13,,TOH-TOK_Y2.png,292,791,363,840
40HJ,Seat,782-22-13,,TOH-TOK_Y2.png,289,847,359,897
41HJ,Seat,782-22-08,,TOH-TOK_Y2.png,286,905,356,953
L53,Lavatory,F2549014200400,,TOH-TOK_Y2.png,14,5,89,65
L54,Lavatory,F2549019103200,,TOH-TOK_Y2.png,309,5,384,65
Y2/CCarpet,Carpet,Generic,,TOH-TOK_Y2.png,0,0,0,0
DP,Panel,Generic,,TOH-TOK_Y2.png,0,0,0,0
SP,Sidewall,Generic,,TOH-TOK_Y2.png,0,0,0,0
LABEL,Label,Generic,,TOH-TOK_Y2.png,0,0,0,0
