name,kind,part.number,part.description,location.image,location.x1,location.y1,location.x2,location.y2
11AB,Seat,861034-401,,TOL-TOP_Y1.png,19,26,90,69
12AB,Seat,861034-403,,TOL-TOP_Y1.png,19,83,90,127
13AB,Seat,861034-403,,TOL-TOP_Y1.png,19,140,90,184
14AB,Seat,861034-425,,TOL-TOP_Y1.png,19,197,90,241
15AB,Seat,861034-403,,TOL-TOP_Y1.png,19,254,90,298
16AB,Seat,861034-403,,TOL-TOP_Y1.png,19,312,90,356
17AB,Seat,861034-425,,TOL-TOP_Y1.png,19,369,90,413
18AB,Seat,861034-403,,TOL-TOP_Y1.png,19,425,90,469
19AB,Seat,861034-403,,TOL-TOP_Y1.png,19,480,90,524
20AB,Seat,861034-425,,TOL-TOP_Y1.png,19,536,90,580
21AB,Seat,861034-403,,TOL-TOP_Y1.png,19,592,90,636
22AB,Seat,861034-403,,TOL-TOP_Y1.png,19,647,90,691
23AB,Seat,861034-425,,TOL-TOP_Y1.png,19,702,90,746
24AB,Seat,861034-403,,TOL-TOP_Y1.png,19,759,90,803
25AB,Seat,861034-403,,TOL-TOP_Y1.png,19,814,90,858
26AB,Seat,861034-425,,TOL-TOP_Y1.png,19,868,90,912
27AB,Seat,861034-403,,TOL-TOP_Y1.png,19,924,90,968
28AB,Seat,861034-409,,TOL-TOP_Y1.png,19,980,90,1024
11DEFG,Seat,861034-405,,TOL-TOP_Y1.png,128,26,272,69
12DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,83,272,127
13DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,140,272,184
14DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,197,272,241
15DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,254,272,298
16DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,312,272,356
17DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,372,272,416
18DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,427,272,471
19DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,483,272,527
20DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,539,272,583
21DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,594,272,638
22DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,650,272,694
23DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,705,272,749
24DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,762,272,806
25DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,817,272,861
26DEFG,Seat,861034-407,,TOL-TOP_Y1.png,128,872,272,916
27DEFG,Seat,861034-415,,TOL-TOP_Y1.png,128,928,272,972
11HJ,Seat,861034-402,,TOL-TOP_Y1.png,309,26,382,69
12HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,83,382,127
13HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,140,382,184
14HJ,Seat,861034-426,,TOL-TOP_Y1.png,309,197,382,241
15HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,254,382,298
16HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,312,382,356
17HJ,Seat,861034-426,,TOL-TOP_Y1.png,309,369,382,413
18HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,425,382,469
19HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,480,382,524
20HJ,Seat,861034-426,,TOL-TOP_Y1.png,309,536,382,580
21HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,592,382,636
22HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,647,382,691
23HJ,Seat,861034-426,,TOL-TOP_Y1.png,309,702,382,746
24HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,759,382,803
25HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,814,382,858
26HJ,Seat,861034-426,,TOL-TOP_Y1.png,309,868,382,912
27HJ,Seat,861034-404,,TOL-TOP_Y1.png,309,924,382,968
28HJ,Seat,861034-410,,TOL-TOP_Y1.png,309,980,382,1024
L61,Lavatory,G2549024013200,,TOL-TOP_Y1.png,136,986,197,1058
L62,Lavatory,G2549024513200,,TOL-TOP_Y1.png,202,986,266,1058
Y1/CCarpet,Carpet,Generic,,TOL-TOP_Y1.png,0,0,0,0
DP,Panel,Generic,,TOL-TOP_Y1.png,0,0,0,0
SP,Sidewall,Generic,,TOL-TOP_Y1.png,0,0,0,0
LABEL,Label,Generic,,TOL-TOP_Y1.png,0,0,0,0
