name,part.number,part.kind,part.description
30AB,861034-427,Seat,
31AB,861034-403,Seat,
32AB,861034-403,Seat,
33AB,861034-425,Seat,
34AB,861034-403,Seat,
35AB,861034-403,Seat,
36AB,861034-425,Seat,
37AB,861034-411,Seat,
38AB,861034-411,Seat,
39AB,861034-429,Seat,
40AB,861034-403,Seat,
41AB,861034-403,Seat,
42AB,861034-413,Seat,
29DEFG,861034-405,Seat,
30DEFG,861034-407,Seat,
31DEFG,861034-407,Seat,
32DEFG,861034-407,Seat,
33DEFG,861034-407,Seat,
34DEFG,861034-407,Seat,
35DEFG,861034-407,Seat,
36DEFG,861034-407,Seat,
37DEFG,861034-417,Seat,
38DEFG,861034-417,Seat,
39EFG,861034-419,Seat,
40EFG,861034-421,Seat,
41EFG,861034-421,Seat,
42EFG,861034-423,Seat,
30HJ,861034-428,Seat,
31HJ,861034-404,Seat,
32HJ,861034-404,Seat,
33HJ,861034-426,Seat,
34HJ,861034-404,Seat,
35HJ,861034-404,Seat,
36HJ,861034-426,Seat,
37HJ,861034-412,Seat,
38HJ,861034-412,Seat,
39HJ,861034-430,Seat,
40HJ,861034-404,Seat,
41HJ,861034-404,Seat,
42HJ,861034-414,Seat,
L53,G2549019209400,Lavatory,
L54,G2549020213000,Lavatory,
L73,G2549032108600,Lavatory,
L74,G2549033106000,Lavatory,
Y2/CCarpet,Generic,Carpet,
DP,Generic,Panel,
SP,Generic,Sidewall,
LABEL,Generic,Label,
