name,x1,y1,x2,y2
27AB,22,51,92,93
28AB,22,51,92,94
29AB,22,109,92,152
30AB,22,168,92,211
31AB,22,226,92,269
32AB,22,284,92,327
33AB,22,343,92,386
34AB,22,401,92,444
35AB,22,460,92,503
36AB,22,518,92,561
37AB,22,577,92,620
38AB,22,635,92,678
39AB,22,694,92,737
26DE,128,54,198,96
27DE,128,54,198,97
28DE,128,113,198,156
29DE,128,172,198,215
30DE,128,230,198,273
31DE,128,289,198,332
32DE,128,347,198,390
33DE,128,404,198,447
34DE,128,463,198,506
35DE,128,522,198,565
36DE,128,580,198,623
37EEF,128,639,198,682
38EFG,128,697,198,740
39EFG,128,755,198,798
40EFG,128,812,198,855
41EFG,128,869,198,912
42EFG,128,869,198,912
26FG,200,54,270,96
27FG,200,54,270,97
28FG,200,113,270,156
29FG,200,172,270,215
30FG,200,230,270,273
31FG,200,289,270,332
32FG,200,347,270,390
33FG,200,404,270,447
34FG,200,463,270,506
35FG,200,463,270,507
36FG,200,463,270,508
27HJ,306,51,376,93
28HJ,306,51,376,94
29HJ,306,109,376,152
30HJ,306,168,376,211
31HJ,306,226,376,269
32HJ,306,284,376,327
33HJ,306,343,376,386
34HJ,306,401,376,444
35HJ,306,460,376,503
36HJ,306,518,376,561
37HJ,306,577,376,620
38HJ,306,635,376,678
39HJ,306,694,376,737
40HJ,306,750,376,793
L61,0,0,0,0
L62,0,0,0,0
L73,0,0,0,0
L74,0,0,0,0
