name,x1,y1,x2,y2
11AB,22,51,92,94
12AB,21,110,91,153
13AB,21,169,91,212
14AB,21,228,91,271
15AB,21,286,91,329
16AB,21,346,91,389
17AB,21,404,91,447
18AB,21,464,91,507
19AB,21,522,91,565
20AB,21,582,91,625
21AB,21,640,91,683
22AB,21,700,91,743
23AB,21,756,91,799
24AB,21,814,91,857
25AB,21,871,91,914
26AB,21,928,91,970
11DE,128,54,198,97
12DE,128,114,198,157
13DE,128,173,198,216
14DE,128,232,198,275
15DE,128,291,198,334
16DE,128,350,198,393
17DE,128,407,198,450
18DE,128,467,198,510
19DE,128,526,198,569
20DE,128,585,198,628
21DE,128,644,198,687
22DE,128,703,198,746
23DE,128,761,198,804
24DE,128,819,198,862
25DE,128,876,198,919
11FG,201,54,271,97
12FG,201,114,271,157
13FG,201,173,271,216
14FG,201,232,271,275
15FG,201,291,271,334
16FG,201,350,271,393
17FG,201,407,271,450
18FG,201,467,271,510
19FG,201,526,271,569
20FG,201,585,271,628
21FG,201,644,271,687
22FG,201,703,271,746
23FG,201,761,271,804
24FG,201,819,271,862
25FG,201,876,271,919
11HJ,308,51,378,94
12HJ,308,110,378,153
13HJ,308,169,378,212
14HJ,308,228,378,271
15HJ,308,286,378,329
16HJ,308,346,378,389
17HJ,308,404,378,447
18HJ,308,464,378,507
19HJ,308,522,378,565
20HJ,308,582,378,625
21HJ,308,640,378,683
22HJ,308,700,378,743
23HJ,308,756,378,799
24HJ,308,814,378,857
25HJ,308,871,378,914
26HJ,308,928,378,971
L61,133,937,199,1015
L62,200,937,268,1015
