name,x1,y1,x2,y2
30AB,15,168,89,211
31AB,15,224,89,267
32AB,15,280,89,323
33AB,15,336,89,379
34AB,15,392,89,435
35AB,15,448,89,491
36AB,15,504,89,547
37AB,15,561,90,609
38AB,18,618,94,667
39AB,24,675,96,723
40AB,26,733,100,780
41AB,29,791,104,839
42AB,32,849,107,897
29DEFG,126,127,271,171
30DEFG,126,185,271,229
31DEFG,126,243,271,287
32DEFG,126,301,271,345
33DEFG,126,359,271,403
34DEFG,126,416,271,460
35DEFG,126,474,271,518
36DEFG,126,532,271,576
37DEFG,126,590,271,634
38DEFG,126,648,271,692
39EFG,146,706,252,750
40EFG,146,764,252,808
41EFG,146,822,252,866
42EFG,146,880,252,924
30HJ,310,168,382,211
31HJ,310,224,382,267
32HJ,310,280,382,323
33HJ,310,336,382,379
34HJ,310,392,382,435
35HJ,310,448,382,491
36HJ,310,504,382,547
37HJ,310,561,382,609
38HJ,307,618,378,667
39HJ,301,675,376,723
40HJ,299,733,372,780
41HJ,296,791,368,839
42HJ,293,849,365,897
L53,11,11,90,70
L54,308,11,382,70
L73,43,908,106,969
L74,291,908,355,969
