name,x1,y1,x2,y2
28AB,18,162,89,204
29AB,18,216,89,261
30AB,18,272,89,317
31AB,18,327,89,372
32AB,18,383,89,428
33AB,18,438,89,483
34AB,18,493,89,538
35AB,18,550,91,597
36AB,21,606,94,655
37AB,24,663,98,710
38AB,28,718,103,767
39AB,30,777,106,823
40AB,36,835,111,882
41AB,39,890,114,937
27DE,126,119,196,162
28DE,126,172,196,216
29DE,126,225,196,269
30DE,126,278,196,322
31DE,126,332,196,376
32DE,126,386,196,429
33DE,126,441,196,483
34DE,126,495,196,537
35DEEF,128,547,268,591
36DEEF,128,600,268,645
37DEEF,128,654,268,698
38EFG,145,714,250,756
39EFG,145,767,250,814
40EFG,145,825,250,867
41EFG,145,879,250,923
42EFG,145,934,250,980
27FG,198,119,268,162
28FG,198,172,268,216
29FG,198,225,268,269
30FG,198,278,268,322
31FG,198,332,268,376
32FG,198,386,268,429
33FG,198,441,268,483
34FG,198,495,268,537
28HJ,305,162,375,204
29HJ,305,216,375,261
30HJ,305,272,375,317
31HJ,305,327,375,372
32HJ,305,383,375,428
33HJ,305,438,375,483
34HJ,305,493,375,538
35HJ,304,550,374,597
36HJ,300,606,373,655
37HJ,296,663,370,710
38HJ,293,718,368,767
39HJ,289,777,364,823
40HJ,287,835,359,882
41HJ,283,890,355,937
L53,10,4,91,70
L54,306,4,387,70
