name,x1,y1,x2,y2
11AB,19,43,91,86
12AB,19,100,91,143
13AB,19,157,91,200
14AB,19,213,91,257
15AB,19,270,91,314
16AB,19,327,91,371
17AB,19,383,91,428
18AB,19,440,91,485
19AB,19,497,91,542
20AB,19,554,91,599
21AB,19,611,91,656
22AB,19,668,91,713
23AB,19,724,91,770
24AB,19,781,91,827
25AB,19,838,91,884
26ABHJ,129,863,269,907
11DE,128,6,198,49
12DE,128,63,198,106
13DE,128,120,198,163
14DE,128,176,198,220
15DE,128,233,198,277
16DE,128,290,198,334
17DE,128,346,198,391
18DE,128,403,198,448
19DE,128,460,198,505
20DE,128,517,198,562
21DE,128,574,198,619
22DE,128,631,198,676
23DE,128,687,198,733
24DE,128,744,198,790
25DE,128,801,198,847
11FG,200,6,271,49
12FG,200,63,271,106
13FG,200,120,271,163
14FG,200,176,271,220
15FG,200,233,271,277
16FG,200,290,271,334
17FG,200,346,271,391
18FG,200,403,271,448
19FG,200,460,271,505
20FG,200,517,271,562
21FG,200,574,271,619
22FG,200,631,271,676
23FG,200,687,271,733
24FG,200,744,271,790
25FG,200,801,271,847
11HJ,308,43,379,86
12HJ,308,100,379,143
13HJ,308,157,379,200
14HJ,308,213,379,257
15HJ,308,270,379,314
16HJ,308,327,379,371
17HJ,308,383,379,428
18HJ,308,440,379,485
19HJ,308,497,379,542
20HJ,308,554,379,599
21HJ,308,611,379,656
22HJ,308,668,379,713
23HJ,308,724,379,770
24HJ,308,781,379,827
25HJ,308,838,379,884
L51,15,895,89,981
L52,310,921,384,981
L61,153,925,247,972
