name,x1,y1,x2,y2
11AB,19,26,90,69
12AB,19,83,90,127
13AB,19,140,90,184
14AB,19,197,90,241
15AB,19,254,90,298
16AB,19,312,90,356
17AB,19,369,90,413
18AB,19,425,90,469
19AB,19,480,90,524
20AB,19,536,90,580
21AB,19,592,90,636
22AB,19,647,90,691
23AB,19,702,90,746
24AB,19,759,90,803
25AB,19,814,90,858
26AB,19,868,90,912
27AB,19,924,90,968
28AB,19,980,90,1024
11DEFG,128,26,272,69
12DEFG,128,83,272,127
13DEFG,128,140,272,184
14DEFG,128,197,272,241
15DEFG,128,254,272,298
16DEFG,128,312,272,356
17DEFG,128,372,272,416
18DEFG,128,427,272,471
19DEFG,128,483,272,527
20DEFG,128,539,272,583
21DEFG,128,594,272,638
22DEFG,128,650,272,694
23DEFG,128,705,272,749
24DEFG,128,762,272,806
25DEFG,128,817,272,861
26DEFG,128,872,272,916
27DEFG,128,928,272,972
11HJ,309,26,382,69
12HJ,309,83,382,127
13HJ,309,140,382,184
14HJ,309,197,382,241
15HJ,309,254,382,298
16HJ,309,312,382,356
17HJ,309,369,382,413
18HJ,309,425,382,469
19HJ,309,480,382,524
20HJ,309,536,382,580
21HJ,309,592,382,636
22HJ,309,647,382,691
23HJ,309,702,382,746
24HJ,309,759,382,803
25HJ,309,814,382,858
26HJ,309,868,382,912
27HJ,309,924,382,968
28HJ,309,980,382,1024
L61,136,986,197,1058
L62,202,986,266,1058
