number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
1;LH Panel Outer;137-00-263-05GG;;;;;;
1;LH Panel Inner;137-00-263-53GG;;;;;;
2;LH Strip, Bumper, Upper;137-00-262-21GG;;;;;;
2;Strip, Bumper, Lower;137-00-262-01GG;;;;;;
3;Shroud LH;781-00-380-10;;;;;;
3;Shroud  RH;137-00-380-12GG;;;;;;
3;Shroud CTR;781-00-380-14;;;;;;
6;Armcap RH;137-00-341-01GF;;;;;;
6;Armcap LH;137-00-341-01GF;;;;;;
6;Armcap CTR;137-00-341-01GF;;;;;;
8;RH Escutcheon;137-00-370-01GG;;;;;;
8;LH Escutcheon;137-00-370-01GG;;;;;;
8;CTR Escutcheon;137-00-370-01GG;;;;;;
4;RH Backrest Foodtray assy;782-00-512-00;;;;;;
4;LH Backrest Foodtray assy;782-00-512-00;;;;;;
9;RH Footrest;;;;;;;
9;LH Footrest;;;;;;;
5;RH Dress cover - Headrest;TP25-7931;;;;;;
5;LH Dress cover - Headrest;TP25-7931;;;;;;
5;RH Dress cover - Backrest;TP25-8021;;;;;;
5;LH Dress cover - Backrest;TP25-8021;;;;;;
5;RH Dress cover - Seatbottom;TP25-7930;;;;;;
5;LH Dress cover - Seatbottom;TP25-7930;;;;;;
5A;Seat Belt with Buckle RH;TP25-7219;;;;;;
5A;Seat Belt with Buckle LH;TP25-7219;;;;;;
5A;Seat Belt without Buckle RH;TP25-7220;;;;;;
5A;Seat Belt without Buckle LH;TP25-7220;;;;;;
5;RH Dress cover - Back Poket;TP25-7932;;;;;;
5;LH Dress cover - Back Poket;TP25-7932;;;;;;
4;RH Latch ;137-00-410-15GG;;;;;;
4;LH Latch ;137-00-410-15GG;;;;;;
