location.name;location.image;part.number;part.kind;part.description
1;TOH-TOK_carpets_C.png;TAP-DO-000203-EPA;Subpart;Carpet
2;TOH-TOK_carpets_C.png;TAP-DO-000204-EPA;Subpart;Carpet
3;TOH-TOK_carpets_C.png;TAP-DO-000205-EPA;Subpart;Carpet
4;TOH-TOK_carpets_C.png;TAP-DO-000206-EPA;Subpart;Carpet
5;TOH-TOK_carpets_C.png;TAP-DO-000207-EPA;Subpart;Carpet
6A;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6B;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6C;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6D;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6E;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6F;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6G;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
6H;TOH-TOK_carpets_C.png;TAP-DO-000208-EPA;Subpart;Carpet
7A;TOH-TOK_carpets_C.png;TAP-DO-000209-EPA;Subpart;Carpet
7B;TOH-TOK_carpets_C.png;TAP-DO-000209-EPA;Subpart;Carpet
8A;TOH-TOK_carpets_C.png;TAP-DO-000210-EPA;Subpart;Carpet
8B;TOH-TOK_carpets_C.png;TAP-DO-000210-EPA;Subpart;Carpet
8C;TOH-TOK_carpets_C.png;TAP-DO-000210-EPA;Subpart;Carpet
8D;TOH-TOK_carpets_C.png;TAP-DO-000210-EPA;Subpart;Carpet
9A;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
9B;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
9C;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
9D;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
9E;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
9F;TOH-TOK_carpets_C.png;TAP-DO-000211-EPA;Subpart;Carpet
10A;TOH-TOK_carpets_C.png;TAP-DO-000212-EPA;Subpart;Carpet
10B;TOH-TOK_carpets_C.png;TAP-DO-000212-EPA;Subpart;Carpet
10C;TOH-TOK_carpets_C.png;TAP-DO-000212-EPA;Subpart;Carpet
11A;TOH-TOK_carpets_C.png;TAP-DO-000213-EPA;Subpart;Carpet
11B;TOH-TOK_carpets_C.png;TAP-DO-000213-EPA;Subpart;Carpet
12;TOH-TOK_carpets_C.png;TAP-DO-000214-EPA;Subpart;Carpet
13A;TOH-TOK_carpets_C.png;TAP-DO-000215-EPA;Subpart;Carpet
13B;TOH-TOK_carpets_C.png;TAP-DO-000215-EPA;Subpart;Carpet
