location.name;location.image;part.number;part.kind;part.description
31;TOH-TOK_carpets_Y2.png;TAP-DO-000233-EPA;Subpart;Carpet
32;TOH-TOK_carpets_Y2.png;TAP-DO-000234-EPA;Subpart;Carpet
33;TOH-TOK_carpets_Y2.png;TAP-DO-000235-EPA;Subpart;Carpet
34;TOH-TOK_carpets_Y2.png;TAP-DO-000236-EPA;Subpart;Carpet
35A;TOH-TOK_carpets_Y2.png;TAP-DO-000237-EPA;Subpart;Carpet
35B;TOH-TOK_carpets_Y2.png;TAP-DO-000237-EPA;Subpart;Carpet
36;TOH-TOK_carpets_Y2.png;TAP-DO-000238-EPA;Subpart;Carpet
37;TOH-TOK_carpets_Y2.png;TAP-DO-000239-EPA;Subpart;Carpet
38A;TOH-TOK_carpets_Y2.png;TAP-DO-000240-EPA;Subpart;Carpet
38B;TOH-TOK_carpets_Y2.png;TAP-DO-000240-EPA;Subpart;Carpet
39;TOH-TOK_carpets_Y2.png;TAP-DO-000241-EPA;Subpart;Carpet
39;TOH-TOK_carpets_Y2.png;TAP-DO-000241-EPA;Subpart;Carpet
40;TOH-TOK_carpets_Y2.png;TAP-DO-000242-EPA;Subpart;Carpet
41;TOH-TOK_carpets_Y2.png;TAP-DO-000243-EPA;Subpart;Carpet
42;TOH-TOK_carpets_Y2.png;TAP-DO-000244-EPA;Subpart;Carpet
43;TOH-TOK_carpets_Y2.png;TAP-DO-000245-EPA;Subpart;Carpet
44;TOH-TOK_carpets_Y2.png;TAP-DO-000246-EPA;Subpart;Carpet
45;TOH-TOK_carpets_Y2.png;TAP-DO-000247-EPA;Subpart;Carpet
46;TOH-TOK_carpets_Y2.png;TAP-DO-000248-EPA;Subpart;Carpet
47A;TOH-TOK_carpets_Y2.png;TAP-DO-000249-EPA;Subpart;Carpet
47B;TOH-TOK_carpets_Y2.png;TAP-DO-000249-EPA;Subpart;Carpet
48;TOH-TOK_carpets_Y2.png;TAP-DO-000250-EPA;Subpart;Carpet
49;TOH-TOK_carpets_Y2.png;TAP-DO-000251-EPA;Subpart;Carpet
50;TOH-TOK_carpets_Y2.png;TAP-DO-000252-EPA;Subpart;Carpet
51;TOH-TOK_carpets_Y2.png;TAP-DO-000253-EPA;Subpart;Carpet
52;TOH-TOK_carpets_Y2.png;TAP-DO-000254-EPA;Subpart;Carpet
53;TOH-TOK_carpets_Y2.png;TAP-DO-000255-EPA;Subpart;Carpet
54;TOH-TOK_carpets_Y2.png;TAP-DO-000256-EPA;Subpart;Carpet
55;TOH-TOK_carpets_Y2.png;TAP-DO-000257-EPA;Subpart;Carpet
56;TOH-TOK_carpets_Y2.png;TAP-DO-000258-EPA;Subpart;Carpet
57;TOH-TOK_carpets_Y2.png;TAP-DO-000259-EPA;Subpart;Carpet
58;TOH-TOK_carpets_Y2.png;TAP-DO-000260-EPA;Subpart;Carpet
