number;description;part.number;part.description;location.image;location.x1;location.y1;location.x2;location.y2
4a;Cup Holder RH;848655-401N;;;;;;
4a;Cup Holder LH;848655-401N;;;;;;
4a;Cup Holder CTR;848655-401N;;;;;;
9;Footrest RH;;;;;;;
9;Footrest LH;;;;;;;
9;Footrest CTR;;;;;;;
6;Armcap RH;854676-401A;;;;;;
6;Armcap LH;854676-401A;;;;;;
6;Armcap CTR LH;854676-401A;;;;;;
6;Armcap CTR RH;854676-401A;;;;;;
2;Bumper Panel RH;855135-402M;;;;;;
2;Bumper Panel LH;855135-401M;;;;;;
4;RH Backrest Foodtray AY Outer;858512-413B;;;;;;
4;LH Backrest Foodtray AY Outer;858512-413B;;;;;;
4;CTR  Backrest Foodtray AY Outer;858512-413B;;;;;;
4;RH Backrest Foodtray AY Inner;858511-423A;;;;;;
4;LH Backrest Foodtray AY Inner;858511-423A;;;;;;
4;CTR Backrest Foodtray AY Inner;858511-423A;;;;;;
8;Escutcheon RH;854675-401X;;;;;;
8;Escutcheon CTR RH;857152-413B;;;;;;
8;Escutcheon CTR LH;857152-413B;;;;;;
8;Escutcheon LH;857152-413B;;;;;;
5;RH Dress cover - Headrest;TAP-DO-000179-EPA;;;;;;
5;LH Dress cover - Headrest;TAP-DO-000179-EPA;;;;;;
5;CTR Dress cover - Headrest;TAP-DO-000179-EPA;;;;;;
5;RH Dress cover - Backrest;TAP-DO-000177-EPA;;;;;;
5;LH Dress cover - Backrest;TAP-DO-000177-EPA;;;;;;
5;CTR Dress cover - Backrest;TAP-DO-000177-EPA;;;;;;
5;CTR Dress cover - Seatbottom;TAP-DO-000174-EPA;;;;;;
5;RH Dress cover - Seatbottom;TAP-DO-000174-EPA;;;;;;
5;LH Dress cover - Seatbottom;TAP-DO-000174-EPA;;;;;;
5;RH Dress cover - Back Poket;TAP-DO-000186-EPA;;;;;;
5;LH Dress cover - Back Poket;TAP-DO-000185-EPA;;;;;;
5;CTR Dress cover - Back Poket;TAP-DO-000185-EPA;;;;;;
5A;RH Seat belt with buckle;TP25-8389;;;;;;
5A;LH Seat belt with buckle;TP25-8389;;;;;;
5A;CTR Seat belt with buckle;TP25-8389;;;;;;
5A;RH Seat belt without buckle;TP25-8390;;;;;;
5A;LH Seat belt without buckle;TP25-8390;;;;;;
5A;CTR Seat belt without buckle;TP25-8390;;;;;;
4;Latch RH;859266-401B;;;;;;
4;Latch LH;859266-401B;;;;;;
4;Latch CTR;859266-401B;;;;;;
