location.name,location.image,part.number,part.kind,part.description
1,TOE-TOP_C_front.png,147-00-542-15KV,Subpart,LH bottom front foil
1,TOE-TOP_C_front.png,147-00-541-14KV,Subpart,RH bottom front foil
1A,TOE-TOP_C_front.png,149-00-251-57KV,Subpart,LH front foil lower
2,TOE-TOP_C_front.png,147-00-520-15KV,Subpart,LH panel outside assy
2,TOE-TOP_C_front.png,147-00-522-04KV,Subpart,RH panel outside assy
3,TOE-TOP_C_front.png,147-00-821-00KV,Subpart,LH foil upper
3,TOE-TOP_C_front.png,147-00-821-01KV,Subpart,RH foil upper
4,TOE-TOP_C_front.png,147-00-541-57KV,Subpart,LH foil bumper
4,TOE-TOP_C_front.png,147-00-541-58KV,Subpart,RH foil bumper
6,TOE-TOP_C_front.png,147-00-870-75KV,Subpart,PD panel
7,TOE-TOP_C_front.png,664-00-830-01,Subpart,CTR armcap LH
7,TOE-TOP_C_front.png,664-00-830-02,Subpart,CTR armcap RH
7,TOE-TOP_C_front.png,664-00-340-20,Subpart,Armcap LH
7,TOE-TOP_C_front.png,664-00-340-20,Subpart,Armcap RH
7A,TOE-TOP_C_front.png,147-00-870-07KW,Subpart,RH headphone insert assy
7A,TOE-TOP_C_front.png,147-00-870-08KW,Subpart,LH headphone insert assy
8,TOE-TOP_C_front.png,664-00-300-01,Subpart,LH armrest
8,TOE-TOP_C_front.png,664-00-300-02,Subpart,RH armrest
9,TOE-TOP_C_front.png,147-00-811-85KV,Subpart,Table rack
10,TOE-TOP_C_front.png,147-00-870-77KW,Subpart,LH side foil
10,TOE-TOP_C_front.png,147-00-870-76KW,Subpart,RH side foil
11,TOE-TOP_C_front.png,147-00-840-31KW,Subpart,Front foil
12,TOE-TOP_C_back.png,147-00-541-55KV,Subpart,LH foil rear cover bottom
12,TOE-TOP_C_back.png,147-00-541-56KV,Subpart,RH foil rear cover bottom
14,TOE-TOP_C_back.png,147-00-870-71KV,Subpart,Rear lower cover
15,TOE-TOP_C_back.png,664-00-870-51,Subpart,Rear stowage assy
16,TOE-TOP_C_back.png,147-00-543-61KW,Subpart,LH foil rear
16,TOE-TOP_C_back.png,147-00-543-62KW,Subpart,RH foil rear
5,TOE-TOP_C_front.png,TP25-8314-EPA,Subpart,Dress cover - legrest
5,TOE-TOP_C_front.png,TP25-8353-EPA,Subpart,Dress cover - headrest
5,TOE-TOP_C_front.png,TP25-8352-EPA,Subpart,Dress cover - backrest
5,TOE-TOP_C_front.png,TP25-8354-EPA,Subpart,LH dress cover - Seatbottom
5,TOE-TOP_C_front.png,TP25-8355-EPA,Subpart,RH dress cover - Seatbottom
5,TOE-TOP_C_front.png,TP25-8315-EPA,Subpart,Dress cover - Footrest
5A,TOE-TOP_C_front.png,TP25-8389,Subpart,Seat belt with buckle
5A,TOE-TOP_C_front.png,TP25-8390,Subpart,Seat belt without buckle
