location.name,location.image,part.number,part.kind,part.description
19A,TOE-TOG_Y1_CARPET.png,TP25-8912-EPA,Subpart,Carpet
19B,TOE-TOG_Y1_CARPET.png,TP25-8912-EPA,Subpart,Carpet
20,TOE-TOG_Y1_CARPET.png,TP25-8913-EPA,Subpart,Carpet
21A,TOE-TOG_Y1_CARPET.png,TP25-8914-EPA,Subpart,Carpet
21B,TOE-TOG_Y1_CARPET.png,TP25-8914-EPA,Subpart,Carpet
22A,TOE-TOG_Y1_CARPET.png,TP25-8915-EPA,Subpart,Carpet
22B,TOE-TOG_Y1_CARPET.png,TP25-8915-EPA,Subpart,Carpet
23A,TOE-TOG_Y1_CARPET.png,TP25-8916-EPA,Subpart,Carpet
23B,TOE-TOG_Y1_CARPET.png,TP25-8916-EPA,Subpart,Carpet
24A,TOE-TOG_Y1_CARPET.png,TP25-8917-EPA,Subpart,Carpet
24B,TOE-TOG_Y1_CARPET.png,TP25-8917-EPA,Subpart,Carpet
25A,TOE-TOG_Y1_CARPET.png,TP25-8918-EPA,Subpart,Carpet
25B,TOE-TOG_Y1_CARPET.png,TP25-8918-EPA,Subpart,Carpet
26,TOE-TOG_Y1_CARPET.png,TP25-8919-EPA,Subpart,Carpet
27A,TOE-TOG_Y1_CARPET.png,TP25-8920-EPA,Subpart,Carpet
27B,TOE-TOG_Y1_CARPET.png,TP25-8920-EPA,Subpart,Carpet
28A,TOE-TOG_Y1_CARPET.png,TP25-8921-EPA,Subpart,Carpet
28B,TOE-TOG_Y1_CARPET.png,TP25-8921-EPA,Subpart,Carpet
29,TOE-TOG_Y1_CARPET.png,TP25-8922-EPA,Subpart,Carpet
30A,TOE-TOG_Y1_CARPET.png,TP25-8923-EPA,Subpart,Carpet
30B,TOE-TOG_Y1_CARPET.png,TP25-8923-EPA,Subpart,Carpet
31,TOE-TOG_Y1_CARPET.png,TP25-8924-EPA,Subpart,Carpet
32,TOE-TOG_Y1_CARPET.png,TP25-8925-EPA,Subpart,Carpet
33,TOE-TOG_Y1_CARPET.png,TP25-8926-EPA,Subpart,Carpet
34,TOE-TOG_Y1_CARPET.png,TP25-8927-EPA,Subpart,Carpet
35,TOE-TOG_Y1_CARPET.png,TP25-8928-EPA,Subpart,Carpet
36,TOE-TOG_Y1_CARPET.png,TP25-8929-EPA,Subpart,Carpet
37,TOE-TOG_Y1_CARPET.png,TP25-8930-EPA,Subpart,Carpet
38,TOE-TOG_Y1_CARPET.png,TP25-8931-EPA,Subpart,Carpet
39,TOE-TOG_Y1_CARPET.png,TP25-8932-EPA,Subpart,Carpet
