location.name,location.image,part.number,part.kind,part.description
14A,TOH-TOK_Y1_CARPET.png,TAP-DO-000216-EPA,Subpart,Carpet
14B,TOH-TOK_Y1_CARPET.png,TAP-DO-000216-EPA,Subpart,Carpet
15,TOH-TOK_Y1_CARPET.png,TAP-DO-000217-EPA,Subpart,Carpet
16A,TOH-TOK_Y1_CARPET.png,TAP-DO-000218-EPA,Subpart,Carpet
16B,TOH-TOK_Y1_CARPET.png,TAP-DO-000218-EPA,Subpart,Carpet
17A,TOH-TOK_Y1_CARPET.png,TAP-DO-000219-EPA,Subpart,Carpet
17B,TOH-TOK_Y1_CARPET.png,TAP-DO-000219-EPA,Subpart,Carpet
18A,TOH-TOK_Y1_CARPET.png,TAP-DO-000220-EPA,Subpart,Carpet
18B,TOH-TOK_Y1_CARPET.png,TAP-DO-000220-EPA,Subpart,Carpet
19A,TOH-TOK_Y1_CARPET.png,TAP-DO-000221-EPA,Subpart,Carpet
19B,TOH-TOK_Y1_CARPET.png,TAP-DO-000221-EPA,Subpart,Carpet
20A,TOH-TOK_Y1_CARPET.png,TAP-DO-000222-EPA,Subpart,Carpet
20B,TOH-TOK_Y1_CARPET.png,TAP-DO-000222-EPA,Subpart,Carpet
21,TOH-TOK_Y1_CARPET.png,TAP-DO-000223-EPA,Subpart,Carpet
22A,TOH-TOK_Y1_CARPET.png,TAP-DO-000224-EPA,Subpart,Carpet
22B,TOH-TOK_Y1_CARPET.png,TAP-DO-000224-EPA,Subpart,Carpet
23A,TOH-TOK_Y1_CARPET.png,TAP-DO-000225-EPA,Subpart,Carpet
23B,TOH-TOK_Y1_CARPET.png,TAP-DO-000225-EPA,Subpart,Carpet
24A,TOH-TOK_Y1_CARPET.png,TAP-DO-000226-EPA,Subpart,Carpet
24B,TOH-TOK_Y1_CARPET.png,TAP-DO-000226-EPA,Subpart,Carpet
25A,TOH-TOK_Y1_CARPET.png,TAP-DO-000227-EPA,Subpart,Carpet
25B,TOH-TOK_Y1_CARPET.png,TAP-DO-000227-EPA,Subpart,Carpet
26A,TOH-TOK_Y1_CARPET.png,TAP-DO-000228-EPA,Subpart,Carpet
26B,TOH-TOK_Y1_CARPET.png,TAP-DO-000228-EPA,Subpart,Carpet
27,TOH-TOK_Y1_CARPET.png,TAP-DO-000229-EPA,Subpart,Carpet
28A,TOH-TOK_Y1_CARPET.png,TAP-DO-000230-EPA,Subpart,Carpet
28B,TOH-TOK_Y1_CARPET.png,TAP-DO-000230-EPA,Subpart,Carpet
29,TOH-TOK_Y1_CARPET.png,TAP-DO-000231-EPA,Subpart,Carpet
30,TOH-TOK_Y1_CARPET.png,TAP-DO-000232-EPA,Subpart,Carpet
