name,part.number,part.kind,part.description,location.name,location.image.name
27AB,9166211-11,Seat,,27AB,TOA-TOD_Y2.png
28AB,9166210-01,Seat,,28AB,TOA-TOD_Y2.png
29AB,9166210-01,Seat,,29AB,TOA-TOD_Y2.png
30AB,9166210-01,Seat,,30AB,TOA-TOD_Y2.png
31AB,9166210-01,Seat,,31AB,TOA-TOD_Y2.png
32AB,9166210-01,Seat,,32AB,TOA-TOD_Y2.png
33AB,9166210-01,Seat,,33AB,TOA-TOD_Y2.png
34AB,9166210-03,Seat,,34AB,TOA-TOD_Y2.png
35AB,9166210-03,Seat,,35AB,TOA-TOD_Y2.png
36AB,9166210-01,Seat,,36AB,TOA-TOD_Y2.png
37AB,9166210-09,Seat,,37AB,TOA-TOD_Y2.png
38AB,9166210-09,Seat,,38AB,TOA-TOD_Y2.png
39AB,9166210-09,Seat,,39AB,TOA-TOD_Y2.png
26DE,9166231-13,Seat,,26DE,TOA-TOD_Y2.png
27DE,9166230-15,Seat,,27DE,TOA-TOD_Y2.png
28DE,9166230-15,Seat,,28DE,TOA-TOD_Y2.png
29DE,9166230-15,Seat,,29DE,TOA-TOD_Y2.png
30DE,9166230-15,Seat,,30DE,TOA-TOD_Y2.png
31DE,9166230-15,Seat,,31DE,TOA-TOD_Y2.png
32DE,9166230-15,Seat,,32DE,TOA-TOD_Y2.png
33DE,9166230-15,Seat,,33DE,TOA-TOD_Y2.png
34DE,9166230-15,Seat,,34DE,TOA-TOD_Y2.png
35DE,9166230-17,Seat,,35DE,TOA-TOD_Y2.png
36DE,9166230-19,Seat,,36DE,TOA-TOD_Y2.png
37EEF,9166341-21,Seat,,37EEF,TOA-TOD_Y2.png
38EFG,9166340-22,Seat,,38EFG,TOA-TOD_Y2.png
39EFG,9166340-22,Seat,,39EFG,TOA-TOD_Y2.png
40EFG,9166340-22,Seat,,40EFG,TOA-TOD_Y2.png
41EFG,9166340-22,Seat,,41EFG,TOA-TOD_Y2.png
42EFG,9166340-23,Seat,,42EFG,TOA-TOD_Y2.png
26FG,9166221-14,Seat,,26FG,TOA-TOD_Y2.png
27FG,9166220-16,Seat,,27FG,TOA-TOD_Y2.png
28FG,9166220-16,Seat,,28FG,TOA-TOD_Y2.png
29FG,9166220-16,Seat,,29FG,TOA-TOD_Y2.png
30FG,9166220-16,Seat,,30FG,TOA-TOD_Y2.png
31FG,9166220-16,Seat,,31FG,TOA-TOD_Y2.png
32FG,9166220-16,Seat,,32FG,TOA-TOD_Y2.png
33FG,9166220-16,Seat,,33FG,TOA-TOD_Y2.png
34FG,9166220-16,Seat,,34FG,TOA-TOD_Y2.png
35FG,9166220-18,Seat,,35FG,TOA-TOD_Y2.png
36FG,9166220-20,Seat,,36FG,TOA-TOD_Y2.png
27HJ,9166201-12,Seat,,27HJ,TOA-TOD_Y2.png
28HJ,9166200-02,Seat,,28HJ,TOA-TOD_Y2.png
29HJ,9166200-02,Seat,,29HJ,TOA-TOD_Y2.png
30HJ,9166200-02,Seat,,30HJ,TOA-TOD_Y2.png
31HJ,9166200-02,Seat,,31HJ,TOA-TOD_Y2.png
32HJ,9166200-02,Seat,,32HJ,TOA-TOD_Y2.png
33HJ,9166200-02,Seat,,33HJ,TOA-TOD_Y2.png
34HJ,9166200-04,Seat,,34HJ,TOA-TOD_Y2.png
35HJ,9166200-04,Seat,,35HJ,TOA-TOD_Y2.png
36HJ,9166200-02,Seat,,36HJ,TOA-TOD_Y2.png
37HJ,9166200-06,Seat,,37HJ,TOA-TOD_Y2.png
38HJ,9166200-10,Seat,,38HJ,TOA-TOD_Y2.png
39HJ,9166200-10,Seat,,39HJ,TOA-TOD_Y2.png
40HJ,9166200-10,Seat,,40HJ,TOA-TOD_Y2.png
L61,F2549006502000,Lavatory,,L61,TOA-TOD_Y2.png
L62,F2549007502000,Lavatory,,L62,TOA-TOD_Y2.png
L73,F2549027500800,Lavatory,,L73,TOA-TOD_Y2.png
L74,F2549028501800,Lavatory,,L74,TOA-TOD_Y2.png
Y2/CCarpet,Generic,Carpet,,,
DP,Generic,Panel,,,
SP,Generic,Sidewall,,,
LABEL,Generic,Label,,,
