name,part.number,part.kind,part.description,location.name,location.image.name
28AB,782-21-21,Seat,,28AB,TOH-TOK_Y2.png
29AB,782-21-11,Seat,,29AB,TOH-TOK_Y2.png
30AB,782-21-11,Seat,,30AB,TOH-TOK_Y2.png
31AB,782-21-11,Seat,,31AB,TOH-TOK_Y2.png
32AB,782-21-11,Seat,,32AB,TOH-TOK_Y2.png
33AB,782-21-03,Seat,,33AB,TOH-TOK_Y2.png
34AB,782-21-03,Seat,,34AB,TOH-TOK_Y2.png
35AB,782-21-03,Seat,,35AB,TOH-TOK_Y2.png
36AB,782-21-05,Seat,,36AB,TOH-TOK_Y2.png
37AB,782-21-07,Seat,,37AB,TOH-TOK_Y2.png
38AB,782-21-06,Seat,,38AB,TOH-TOK_Y2.png
39AB,782-21-13,Seat,,39AB,TOH-TOK_Y2.png
40AB,782-21-13,Seat,,40AB,TOH-TOK_Y2.png
41AB,782-21-08,Seat,,41AB,TOH-TOK_Y2.png
27DE,782-21-51,Seat,,27DE,TOH-TOK_Y2.png
28DE,782-21-44,Seat,,28DE,TOH-TOK_Y2.png
29DE,782-21-44,Seat,,29DE,TOH-TOK_Y2.png
30DE,782-21-44,Seat,,30DE,TOH-TOK_Y2.png
31DE,782-21-44,Seat,,31DE,TOH-TOK_Y2.png
32DE,782-21-44,Seat,,32DE,TOH-TOK_Y2.png
33DE,782-21-44,Seat,,33DE,TOH-TOK_Y2.png
34DE,782-21-44,Seat,,34DE,TOH-TOK_Y2.png
35DEEF,782-40-05,Seat,,35DEEF,TOH-TOK_Y2.png
36DEEF,782-40-02,Seat,,36DEEF,TOH-TOK_Y2.png
37DEEF,782-40-04,Seat,,37DEEF,TOH-TOK_Y2.png
38EFG,782-30-22,Seat,,38EFG,TOH-TOK_Y2.png
39EFG,782-30-06,Seat,,39EFG,TOH-TOK_Y2.png
40EFG,782-30-06,Seat,,40EFG,TOH-TOK_Y2.png
41EFG,782-30-02,Seat,,41EFG,TOH-TOK_Y2.png
42EFG,782-30-03,Seat,,42EFG,TOH-TOK_Y2.png
27FG,782-22-51,Seat,,27FG,TOH-TOK_Y2.png
28FG,782-22-44,Seat,,28FG,TOH-TOK_Y2.png
29FG,782-22-44,Seat,,29FG,TOH-TOK_Y2.png
30FG,782-22-44,Seat,,30FG,TOH-TOK_Y2.png
31FG,782-22-44,Seat,,31FG,TOH-TOK_Y2.png
32FG,782-22-44,Seat,,32FG,TOH-TOK_Y2.png
33FG,782-22-44,Seat,,33FG,TOH-TOK_Y2.png
34FG,782-22-44,Seat,,34FG,TOH-TOK_Y2.png
28HJ,782-22-21,Seat,,28HJ,TOH-TOK_Y2.png
29HJ,782-22-11,Seat,,29HJ,TOH-TOK_Y2.png
30HJ,782-22-11,Seat,,30HJ,TOH-TOK_Y2.png
31HJ,782-22-11,Seat,,31HJ,TOH-TOK_Y2.png
32HJ,782-22-11,Seat,,32HJ,TOH-TOK_Y2.png
33HJ,782-22-03,Seat,,33HJ,TOH-TOK_Y2.png
34HJ,782-22-03,Seat,,34HJ,TOH-TOK_Y2.png
35HJ,782-22-03,Seat,,35HJ,TOH-TOK_Y2.png
36HJ,782-22-05,Seat,,36HJ,TOH-TOK_Y2.png
37HJ,782-22-07,Seat,,37HJ,TOH-TOK_Y2.png
38HJ,782-22-06,Seat,,38HJ,TOH-TOK_Y2.png
39HJ,782-22-13,Seat,,39HJ,TOH-TOK_Y2.png
40HJ,782-22-13,Seat,,40HJ,TOH-TOK_Y2.png
41HJ,782-22-08,Seat,,41HJ,TOH-TOK_Y2.png
L53,F2549014109600,Lavatory,,L53,TOH-TOK_Y2.png
L54,F2549019012400,Lavatory,,L54,TOH-TOK_Y2.png
Y2/CCarpet,TOH-TOK_Y2_CARPET,Carpet,,13,TOE-TOP_Y_side_dado_carpet.png
DP,TOE-TOP_Y_DADO,Panel,,12,TOE-TOP_Y_side_dado_carpet.png
SP,TOE-TOP_Y_SIDE,Panel,,11,TOE-TOP_Y_side_dado_carpet.png
LABEL,Generic,Label,,,
