name,part.number,part.kind,part.description,location.name,location.image.name
1AB,664-21-012-22,Seat,,1AB,TOL-TOP_C.png
2AB,664-21-011-22,Seat,,2AB,TOL-TOP_C.png
3AB,664-21-011-22,Seat,,3AB,TOL-TOP_C.png
4AB,664-21-021-22,Seat,,4AB,TOL-TOP_C.png
1EF,664-20-012-22,Seat,,1EF,TOL-TOP_C.png
2EF,664-20-011-22,Seat,,2EF,TOL-TOP_C.png
3EF,664-20-011-22,Seat,,3EF,TOL-TOP_C.png
4EF,664-20-021-22,Seat,,4EF,TOL-TOP_C.png
1HJ,664-22-012-22,Seat,,1HJ,TOL-TOP_C.png
2HJ,664-22-011-22,Seat,,2HJ,TOL-TOP_C.png
3HJ,664-22-011-22,Seat,,3HJ,TOL-TOP_C.png
4HJ,664-22-021-22,Seat,,4HJ,TOL-TOP_C.png
L11,G2549001103800,Lavatory,,L11,TOL-TOP_C.png
L36,G2549019209200,Lavatory,,L36,TOL-TOP_C.png
B/CCarpet,TOE-TOP_C_CARPET,Carpet,,19,TOE-TOP_C_side_dado_carpet.png
DP,TOE-TOP_C_DADO,Panel,,18,TOE-TOP_C_side_dado_carpet.png
SP,TOE-TOP_C_SIDE,Panel,,17,TOE-TOP_C_side_dado_carpet.png
LABEL,Generic,Label,,,
