name,x1,y1,x2,y2
66,184,236,214,266
3,299,384,329,414
4,236,358,266,388
5,184,358,214,388
6,133,359,163,389
7,70,385,100,415
9A,70,431,100,461
9B,297,431,327,461
16A,184,409,214,439
17A,184,454,214,484
16B,184,498,214,528
17B,184,543,214,573
16C,184,588,214,618
17C,184,633,214,663
18,184,689,214,719
10A,70,475,100,505
9C,70,519,100,549
10C,70,565,100,595
10E,70,654,100,684
9E,70,609,100,639
11A,70,712,100,742
8A,0,554,30,584
8B,370,554,400,584
13A,135,475,165,505
13B,231,475,261,505
15,135,654,165,684
14,231,654,261,684
12A,105,564,135,594
12B,262,564,292,594
67,184,820,214,850
10B,297,475,327,505
9D,297,519,327,549
10D,297,565,327,595
9F,297,609,327,639
10F,297,654,327,684
11B,297,712,327,742
