name,x1,y1,x2,y2
37,109,25,139,55
35,258,80,288,110
42,50,145,80,175
40,319,145,349,175
46A,50,283,80,313
49,184,283,214,313
46B,318,283,348,313
45B,370,283,400,313
51,0,475,30,505
50,370,475,400,505
52A,142,501,172,531
58,111,557,141,587
56,257,557,287,587
61,0,595,30,625
60,58,670,88,700
59,89,670,119,700
54,311,670,341,700
36,256,34,286,64
38,370,88,400,118
39,0,88,32,118
41,0,133,30,163
44,184,126,214,156
45A,0,283,30,313
47A,81,283,105,313
43A,108,283,138,313
48A,141,283,171,313
48B,227,283,255,313
43B,259,283,289,313
47B,293,283,317,313
52B,226,501,256,531
53,370,595,400,625
55,280,670,310,700
65,0,720,30,750
62,370,720,400,750
64,131,731,161,761
57,184,731,214,761
63,238,731,268,761
68,184,932,214,962
