name,x1,y1,x2,y2
59,185,325,215,355
3,185,452,215,482
8A,185,496,215,526
10A,185,543,215,573
10B,185,635,215,665
8C,185,680,215,710
10C,185,726,215,756
60,185,910,215,940
5,65,452,95,482
1,307,452,337,482
6A,65,516,95,546
6C,65,607,95,637
9C,65,654,95,684
6G,65,791,95,821
7B,263,516,293,546
9B,307,562,337,592
6D,307,607,337,637
8B,185,588,215,618
8D,185,773,215,803
12,185,804,215,834
4,125,452,155,482
2,241,452,271,482
9A,65,562,95,592
6E,65,700,95,730
9E,65,745,95,775
11A,65,822,95,852
7A,105,516,135,546
6B,307,516,337,546
9D,307,654,337,684
6F,307,700,337,730
9F,307,745,337,775
6H,307,791,337,821
11B,307,822,337,852
13A,0,820,30,850
13B,370,820,400,850
