name,x1,y1,x2,y2
28AB,19,163,91,207
29AB,19,221,91,265
30AB,19,278,91,322
31AB,19,335,91,379
32AB,19,392,91,436
33AB,19,450,91,494
34AB,19,507,91,549
35AB,19,562,92,610
36AB,23,620,95,672
37AB,26,678,100,727
38AB,30,735,104,783
39AB,34,791,108,840
40AB,37,847,112,897
41AB,40,905,115,953
27DE,127,140,198,184
28DE,127,194,198,237
29DE,127,248,198,290
30DE,127,303,198,344
31DE,127,357,198,398
32DE,127,409,198,451
33DE,127,465,198,504
34DE,127,517,198,559
35DEEF,129,570,269,613
36DEEF,129,625,269,665
37DEEF,135,679,262,716
38EFG,146,733,252,775
39EFG,146,786,252,829
40EFG,146,839,252,883
41EFG,146,892,252,937
42EFG,148,945,250,989
27FG,200,140,271,184
28FG,200,194,271,237
29FG,200,248,271,290
30FG,200,303,271,344
31FG,200,357,271,398
32FG,200,409,271,451
33FG,200,465,271,504
34FG,200,517,271,559
28HJ,307,163,379,207
29HJ,307,221,379,265
30HJ,307,278,379,322
31HJ,307,335,379,379
32HJ,307,392,379,436
33HJ,307,450,379,494
34HJ,307,507,379,549
35HJ,307,562,379,610
36HJ,303,620,376,672
37HJ,300,678,371,727
38HJ,296,735,367,783
39HJ,292,791,363,840
40HJ,289,847,359,897
41HJ,286,905,356,953
L53,14,5,89,65
L54,309,5,384,65
