name,x1,y1,x2,y2
34,64,31,94,61
33,185,31,215,61
32,307,31,337,61
31,370,31,400,61
35A,0,146,30,176
35B,370,146,400,176
42,48,172,78,202
41,80,172,105,202
38A,107,172,137,202
39A,141,172,171,202
40,185,172,215,202
39B,227,172,257,202
38B,261,172,291,202
37,294,172,319,202
36,320,172,350,202
52,0,370,30,400
43,370,370,400,400
54,0,504,30,534
53,370,504,400,534
58,0,670,30,700
55,370,670,400,700
62,185,819,215,849
57,141,648,171,678
56,228,648,258,678
51,48,442,78,472
50,80,442,105,472
49,107,442,137,472
47A,141,442,171,472
48,185,442,215,472
47B,227,442,257,472
46,261,442,291,472
45,294,442,319,472
44,320,442,350,472
