name,x1,y1,x2,y2
105,187,252,217,282
106,189,813,219,843
4,0,381,30,411
13,0,457,30,487
18A,0,570,30,600
19A,0,680,30,710
3,370,381,400,411
12,370,457,400,487
18B,370,570,400,600
19B,370,680,400,710
6,70,381,100,411
14A,70,440,100,470
20A,70,486,100,516
14C,70,530,100,560
14E,70,620,100,650
20E,70,665,100,695
14G,70,710,100,740
103A,70,741,100,761
16A,128,477,158,507
16C,128,570,158,600
23,128,680,158,710
16D,242,570,272,600
22,242,680,272,710
8,128,378,158,408
7,242,378,272,408
11,185,378,215,408
10,159,378,174,408
15B,159,477,174,507
15A,113,477,128,507
9,226,378,241,408
16B,242,477,272,507
15C,226,477,241,507
15D,273,477,288,507
15E,112,570,127,600
15F,159,570,174,600
15G,226,570,241,600
15H,273,570,288,600
21A,112,680,127,710
24A,159,680,174,710
24B,226,680,241,710
21B,273,680,288,710
17A,185,421,215,451
25A,185,468,215,498
17B,185,510,215,540
25B,185,557,215,587
17C,185,600,215,630
25C,185,647,215,677
17D,185,690,215,720
104,185,722,215,742
5,302,381,332,411
14B,302,440,332,470
14D,302,530,332,560
20B,302,486,332,516
20C,70,575,100,605
20D,302,575,332,605
14F,302,620,332,650
20F,302,665,334,695
14H,302,710,332,740
103B,302,741,332,761
