name,x1,y1,x2,y2
65,142,12,167,42
64,168,12,193,42
66A,0,36,30,66
66B,370,36,400,66
58,69,69,99,99
60,109,69,139,99
62,140,69,170,99
63,185,69,215,99
61,226,70,256,99
59,259,69,289,99
57,302,69,332,99
67A,0,192,30,222
67B,370,192,400,222
74,0,362,30,392
73,370,362,400,392
82,0,426,30,456
81,370,426,400,456
86,0,495,30,525
85,370,495,400,525
95,0,630,30,660
94,370,630,400,660
102,0,705,30,735
101,370,705,400,735
107,187,850,217,880
69A,82,224,107,254
68A,52,224,82,254
69B,291,224,316,254
68B,316,224,346,254
70A,109,224,139,254
71A,140,224,170,254
72,185,224,215,254
71B,226,224,256,254
70B,259,224,289,254
75A,52,362,82,392
75B,316,362,346,392
84,52,426,82,456
77,82,426,107,456
78A,109,426,139,456
79A,140,426,170,456
80,185,426,215,456
79B,226,426,256,456
78B,259,426,289,456
76,291,426,316,456
83,316,426,346,456
88,52,495,82,525
87,316,495,346,525
90,90,630,120,660
92,127,630,157,660
93,185,630,215,660
91,243,630,273,660
89,280,630,310,660
97,71,709,101,739
96,299,709,329,739
100,185,735,215,765
99,127,756,157,786
98,244,756,274,786
